"key","en","es","fr","de","ja"
"lastPlayed","last played:","Última partida:","Dernière partie :","zuletzt gespielt:",前回プレイ:
"left","Left","Izquierda","Gauche","Links",左
"loading","Loading","Cargando","Chargement","Laden",Loading
"menu_achievements","Achievements","Logros","Succès","Errungenschaften",実績
"menu_active","ACTIVE","ACTIVO","ACTIF","AKTIV",ACTIVE
"menu_bossSelect","Boss Select","Seleccionar jefe","Sélection de boss","Bossauswahl",ボス選択
"menu_chapterSelect","Chapter Select","Seleccionar capítulo","Sélection du chapitre","Kapitelauswahl",チャプター選択
"menu_characterchangeinfo","Character can only be changed again after beating campaign!","¡El personaje solo se puede volver a cambiar después de terminar la campaña!","Il vous sera impossible de changer à nouveau de personnage avant de finir la campagne !","Der Charakter kann erst wieder geändert werden, wenn du die Kampagne geschafft hast!",キャラクター選択はゲームクリア後に開放されます！
"menu_characterselect","Character Select","Seleccionar personaje","Choix du personnage","Charakterauswahl",キャラクター選択
"menu_collectibles","Collectibles","Coleccionables","Objets à collectionner","Sammlerstücke",コレクション
"menu_comingSoon","Coming Soon!","¡Próximamente!","Bientôt !","Demnächst!",Coming Soon!
"menu_continue","Continue","Continuar","Continuer","Weiter",コンティニュー
"menu_createsave","Create New Save Slot","Crear nuevo espacio de guardado","Créer une sauvegarde","Neuen Speicherplatz erstellen",新規セーブスロットを作成する
"menu_credits","Credits","Créditos","Crédits","Credits",クレジット
"menu_deleteDataInfo","Deleting Data is Very Permanent.
Are you sure?","Eliminar los datos es algo muy permanente.
 ¿Seguro?","La suppression des données est définitive.
Confirmer ?","Das Löschen von Daten ist sehr dauerhaft.
 Bist du sicher?","データ削除は取り消せません。
よろしいですか？"
"menu_deletesave","Delete Save Data","Eliminar datos guardados","Supprimer la sauvegarde","Speicherdaten löschen",セーブデータを削除する
"menu_demo","Demo!","¡Demostración!","Démo !","Demo!",デモ！
"menu_dev","Developer Menu","Menú de desarrollador","Menu du développeur","Entwickler-Menü",開発者メニュー
"menu_encyclopedia","Encyclopedia","Enciclopedia","Encyclopédie","Enzyklopädie",図鑑
"menu_encyclopediaPickups","Encyclopedia Pickups:","Entradas de la enciclopedia:","objets de l'encyclopédie :","Enzyklopädie-Einträge:",図鑑ピックアップ:
"menu_encyclopediaProg","Encyclopedia Progress: ","Progreso en la enciclopedia:","Progression de l'encyclopédie :","Enzyklopädie-Fortschritt:",図鑑達成率:
"menu_failedAchievements","Failed to fetch achievements.","No se pudieron recuperar los logros.","Impossible de récupérer les succès.","Errungenschaften konnten nicht abgerufen werden.",実績の取得に失敗しました。
"menu_failedStats","Failed to fetch stats.","No se pudieron recuperar las estadísticas.","Impossible de récupérer les statistiques.","Statistiken konnten nicht abgerufen werden.",プレイデータの取得に失敗しました。
"menu_gameComplete","Game Complete","Juego completado","Jeu terminé","Spiel abgeschlossen",ゲームクリア
"menu_gamepaused","Game Paused","Juego en pausa","En pause","Spiel pausiert",中断したゲーム
"menu_globalstats","Global Stats","Estadísticas globales","Statistiques globales","Globale Statistiken",グローバルデータ
"menu_inactive","INACTIVE","ACTIVO","INACTIF","INAKTIV",INACTIVE
"menu_loadCheck","Load Checkpoint","Cargar punto de control","Charger le point de contrôle","Kontrollpunkt laden",チェックポイントをロードする
"menu_loadCheckpoint","Load Checkpoint","Cargar punto de control","Charger le point de contrôle","Kontrollpunkt laden",チェックポイントをロードする
"menu_localstats","Your Stats","Tus estadísticas","Vos statistiques","Deine Statistiken",プレイデータ
"menu_mainmenu","Main Menu","Menú principal","Menu principal","Hauptmenü",メインメニュー
"menu_modstations","Weapon Mod Stations:","Estaciones de módulo de arma:","Stations de modules d'armes :","Waffen-Mod-Stationen:",Weapon Mod Stations:
"menu_newsavetitle","New Save Slot","Nuevo espacio de guardado","Nouvelle sauvegarde","Neuer Speicherplatz",新規セーブスロット
"menu_nocheckpoints","No saved checkpoints!","¡No hay puntos de control guardados!","Aucun point de contrôle sauvegardé !","Keine gespeicherten Kontrollpunkte!",チェックポイントがありません！
"menu_notowned","NOT OWNED","NO OBTENIDO","NON POSSÉDÉ","NICHT IN BESITZ",NOT OWNED
"menu_ok","ok","Vale","OK","ok",ok
"menu_opensavedir","Open Save Directory
(out of VR)
","Abrir directorio de guardado
(fuera de RV)","Ouvrir le dossier de sauvegardes
(hors VR)","Öffne das Speicherverzeichnis
 (außerhalb von VR)","セーブフォルダを開く
(VR外)
"
"menu_options","Options","Opciones","Options","Optionen",オプション
"menu_play","PLAY","JUGAR","JOUER","SPIELEN",プレイ
"menu_playBeginning","Play from Beginning","Jugar desde el principio","Jouer du début","Von Anfang an spielen",ニューゲーム
"menu_previousmodsrequired","Previous Mods Required","Módulos anteriores requeridos","Modules précédents requis","Vorherige Mods erforderlich",Previous Mods Required
"menu_QJProg","Quantum Juice Progress:","Progreso en el zumo cuántico:","Progression du jus quantique :","Quantensaft-Fortschritt:",クォンタムジュース状況:
"menu_quit","Quit","Salir","Quitter","Beenden",終了
"menu_resume","Resume Game","Reanudar juego","Reprendre","Spiel fortsetzen",ゲームに戻る
"menu_retry","Retry","Reintentar","Réessayer","Wiederholen",リトライ
"menu_saveDirInfo","Save Directory Opened on Desktop. Remove VR headset.","Guarda el directorio abierto en el escritorio. Quítate el casco de realidad virtual.","Dossier de sauvegardes ouvert sur le bureau. Enlevez le casque VR.","Speicherverzeichnis auf Desktop geöffnet. Entferne das VR-Headset.",デスクトップでセーブフォルダを開きました。VRヘッドセットを外してください。
"menu_saveSlot","Save Slot","Espacio de guardado","Sauvegarde","Speicherplatz",セーブスロット
"menu_saveslotnum","Save Slot {0}","Espacio de guardado {0}","Sauvegarde {0}","Speicherplatz {0}",セーブスロット {0}
"menu_saveslots","Save Slots","Espacios de guardado","Sauvegardes","Speicherplätze",セーブスロット
"menu_saveSlots","Save Slots","Espacios de guardado","Sauvegardes","Speicherplätze",セーブスロット
"menu_secretWeaponsProg","Secret Weapons: ","Armas secretas:","Armes secrètes :","Geheimwaffen:",シークレットウェポン:
"menu_stageSelect","Stage Select","Selección de fase","Choix du niveau","Stufenauswahl",ステージセレクト
"menu_stats","Stats","Estadísticas","Statistiques","Statistiken",プレイデータ
"menu_synthesize","SYNTHESIZE","SINTETIZAR","SYNTHÉTISER","SYNTHETISIEREN",合成
"menu_synthesizerdepleted","Synthesizer Depleted","Sintetizador agotado","Synthétiseur épuisé","Synthesizer erschöpft",使用済み合成装置
"menu_synthesizing","Synthesizing...","Sintetizando...","Synthétisation...","Synthese ...",合成中……
"menu_upgradeProg","Upgrade Progress: ","Progreso de la mejora:","Progression de l'amélioration :","Upgrade-Fortschritt:",アップグレード状況:
"menu_weaponmods","Weapon Mods","Módulos de arma","Modules d'armes","Waffen-Mods",Weapon Mods
"menu_weaponmodselect","Select Compatible Firearm","Seleccionar arma de fuego compatible","Choisir une arme compatible","Kompatible Waffe auswählen",Select Compatible Firearm
"menu_weaponmodsynth","WEAPON MOD SYNTHESIZER","SINTETIZADOR DE MÓDULOS DE ARMAS","SYNTHÉTISEUR DE MODULES D'ARMES","WAFFEN-MOD-SYNTHESIZER",WEAPON MOD SYNTHESIZER
"outpost_admin","Security Admin","Administrador de seguridad","Administration de la sécurité","Sicherheitsadministrator",Security Admin
"outpost_liftinglockdown","Lifting Lockdown...","Cancelando el confinamiento...","Annulation du confinement...","Sperre aufheben ...",Lifting Lockdown...
"outpost_liftlockdown","Lift Lockdown","Cancelar confinamiento","Annuler le confinement","Sperre aufheben",Lift Lockdown
"outpost_lockdown","Outpost has automatically locked down after 100 days of human inactivity","El puesto de avanzada se ha confinado automáticamente después de 100 días de inactividad humana","L'avant-poste s'est mis en confinement automatique au bout de 100 jours d'inactivité humaine","Der Außenposten wurde nach 100 Tagen menschlicher Inaktivität automatisch gesperrt",Outpost has automatically locked down after 100 days of human inactivity
"outpost_logs","9/13/2015 - Final magma valve maintenence pass
9/14/2015 - All magma valves opened permanently
9/16/2015 - Outpost crew reduced to minimal
9/26/2015 - Minor MXE. Security dispatched life form without incident
10/8/2015 - Crew fully evacuated, outpost enters autonomous mode
10/25/2015 - Reactor startup. Systems entering sleep mode. Further events will not be recorded. Query mainframe with unit code RCGO_39711 for futher data","13/9/2015: Pase final de mantenimiento de la válvula de magma.
14/9/2015: Todas las válvulas de magma se abrieron de forma permanente.
16/9/2015: La tripulación del puesto de avanzada se redujo al mínimo.
26/9/2015: EIM menor. La seguridad se deshizo de la forma de vida sin incidentes.
8/10/2015: Tripulación completamente evacuada, el puesto de avanzada entra en modo automático.
25/10/2015 - Puesta en marcha del reactor. Sistemas entrando en modo de suspensión. No se registrarán más acontecimientos. Consulta el ordenador principal con código de unidad RCGO_39711 para conseguir más datos.","13/09/2015 - Dernier entretien de la valve à magma
14/09/2015 - Toutes les valves à magma sont ouvertes définitivement
16/09/2015 - Équipe de l'avant-poste réduite au nombre minimum
26/09/2015 - EEM mineur. La sécurité a éliminé la forme de vie sans incident
08/10/2015 - Équipe évacuée, l'avant-poste entre en mode autonome
25/10/2015 - Démarrage du réacteur. Les systèmes entrent en veille. Les événements futurs ne seront pas enregistrés. Pour obtenir plus d'informations, faites une requête à l'ordinateur central en indiquant le code RCGO_39711","13.09.2015 – Letzter Durchgang zur Wartung der Magmaventile
 14.09.2015 – Alle Magmaventile wurden dauerhaft geöffnet
 16.09.2015 – Die Besatzung des Außenpostens wurde auf ein Minimum reduziert
 26.09.2015 – Kleine MXE. Der Sicherheitsdienst hat die Lebensform ohne Zwischenfall abgezogen
 08.10.2015 – Die Besatzung wurde vollständig evakuiert, der Außenposten geht in den autonomen Modus über
 25.10.2015 – Der Reaktor wird gestartet. Systeme gehen in den Schlafmodus über. Weitere Ereignisse werden nicht aufgezeichnet. Abfrage des Großrechners mit dem Einheitencode RCGO_39711 für weitere Daten","9/13/2015 - Final magma valve maintenence pass
9/14/2015 - All magma valves opened permanently
9/16/2015 - Outpost crew reduced to minimal
9/26/2015 - Minor MXE. Security dispatched life form without incident
10/8/2015 - Crew fully evacuated, outpost enters autonomous mode
10/25/2015 - Reactor startup. Systems entering sleep mode. Further events will not be recorded. Query mainframe with unit code RCGO_39711 for futher data"
"outpost_logsTitle","Security Logs","Registros de seguridad","Registres de sécurité","Sicherheitsprotokolle",Security Logs
"outpost_return","Return","Volver","Revenir","Zurück",Return
"outpost_security","Security","Seguridad","Sécurité","Sicherheit",Security
"outpost_stats","Statistics","Estadísticas","Statistiques","Statistik",Statistics
"outpost_title","Geothermal Outpost III","Puesto de avanzada geotérmico III","Avant-poste géothermique III","Geothermischer Außenposten III",Geothermal Outpost III
"popup_collect","NEW COLLECTIBLE!","¡NUEVO COLECCIONABLE!","NOUVEL OBJET !","NEUES SAMMLERSTÜCK!",コレクションに追加しました！
"popup_enc","NEW ENCYCLOPEDIA ENTRY!","¡NUEVA ENTRADA EN LA ENCICLOPEDIA!","NOUVEL ARTICLE D'ENCYCLOPÉDIE !","NEUER ENZYKLOPÄDIE-EINTRAG!",図鑑が更新されました！
"popup_save","Game Saved","Juego Guardado","Jeu Enregistré","Spiel Gespeichert",セーブが完了しました
"quality_custom","Custom","Personalizada","Personnalisée","Benutzerdefiniert",カスタム
"quality_high","High","Alta","Élevée","Hoch",高
"quality_low","Low","Baja","Faible","Niedrig",低
"quality_medium","Medium","Media","Moyenne","Mittel",中
"quality_off","Off","No","Désactivée","Aus",オフ
"quality_veryhigh","Very High","Muy alta","Très élevée","Sehr hoch",最高
"quality_verylow","Very Low","Muy baja","Très faible","Sehr niedrig",最低
"quarantine_break","BREAK QUARANTINE","ROMPER LA CUARENTENA","LEVER LA QUARANTAINE","QUARANTÄNE BRECHEN",BREAK QUARANTINE
"quarantine_confirmed","HUMANITY CONFIRMED!","¡HUMANIDAD CONFIRMADA!","HUMANITÉ CONFIRMÉE !","MENSCHLICHKEIT BESTÄTIGT!",HUMANITY CONFIRMED!
"quarantine_ineffect","SECTOR QUARANTINE IN EFFECT","SECTOR EN CUARENTENA","SECTEUR EN QUARANTAINE","SEKTOR-QUARANTÄNE IN KRAFT",SECTOR QUARANTINE IN EFFECT
"quarantine_lifting","LIFTING QUARANTINE...","CANCELANDO LA CUARENTENA...","INTERRUPTION DE QUARANTAINE...","AUFHEBUNG DER QUARANTÄNE ...",LIFTING QUARANTINE...
"quarantine_quiz1","Select the photo containing edible items.","Selecciona la foto que contiene elementos comestibles.","Sélectionnez la photo contenant des éléments comestibles.","Wähle das Foto mit den essbaren Gegenständen aus.",Select the photo containing edible items.
"quarantine_quiz2","Which is the most prevalent atmospheric element?","¿Cuál es el elemento atmosférico más abundante?","Quel est l'élément atmosphérique le plus répandu ?","Welches ist das am weitesten verbreitete atmosphärische Element?",Which is the most prevalent atmospheric element?
"quarantine_quiz3","Select the color you can perceive most clearly.","Selecciona el color que percibas con mayor claridad.","Sélectionnez la couleur que vous percevez le plus clairement.","Wähle die Farbe, die du am deutlichsten wahrnehmen kannst.",Select the color you can perceive most clearly.
"quarantine_reject","ALIEN DETECTED","EXTRATERRESTRE DETECTADO","EXTRATERRESTRE DÉTECTÉ","ALIEN ENTDECKT",ALIEN DETECTED
"recap","Recap","Resumen","Récapitulatif","Zusammenfassung",Recap
"recap_skip","Skip Recap","Omitir resumen","Passer","Zusammenfassung überspringen",Skip Recap
"right","Right","Derecha","Droite","Rechts",右
"set_ammobackpack","Ammo Backpack:","Mochila de munición:","Sac de munitions :","Munitionsrucksack:",弾薬の収納:
"set_ammoOffset","Ammo Height Adjust:","Ajuste de altura de la munición:","Ajuster la hauteur des munitions :","Munitionshöhe einstellen:",弾薬ベルトの高さ:
"set_antialiasing","Antialiasing:","Suavizado de bordes:","Anticrénelage :","Antialiasing:",アンチエイリアス:
"set_apply","Apply
","Aplicar","Appliquer","Übernehmen","適用
"
"set_applyConfirm","Apply Changes?","¿Aplicar cambios?","Appliquer les modifications ?","Änderungen anwenden?",変更を適用しますか？
"set_audio","Audio","Audio","Audio","Audio",オーディオ
"set_autoreload","Auto-Reloading:","Autorrecarga:","Recharge auto :","Automatisches Nachladen:",オートリロード:
"set_bammcomms","BAMM Communications:","Mensajes del BAMM:","Communications BBAM :","BAMM-Kommunikation:",BAMMの通信:
"set_bammnotes","BAMM Notifications:","Notificaciones del BAMM:","Notifications BBAM :","BAMM-Benachrichtigungen:",BAMMの通知:
"set_blood","Blood and Gore:","Sangre y violencia:","Sang :","Blut und Gewalt:",出血とゴア表現:
"set_calibrateseated","Calibrate Seated Height","Calibrar altura sentado","Calibrer la position assise","Sitzhöhe kalibrieren",キャリブレート
"set_captions","Captions:","Subtítulos:","Sous-titres :","Untertitel:",字幕:
"set_chaptertitles","Chapter Titles:","Títulos de los capítulos:","Titres des chapitres :","Kapitelüberschriften:",チャプタータイトル:
"set_checkpointNotifs","Checkpoint Notifications:","Notificaciones de punto de control:","Notifications de points de contrôle :","Kontrollpunkt-Benachrichtigungen:",チェックポイント通知:
"set_comfort","Comfort","Comodidad","Confort","Komfort",快適性
"set_copyOptions","Copy options from current slot:","Opciones de copia del espacio actual:","Copier les options de l'emplacement actuel :","Kopiere Optionen vom aktuellen Platz:",現在のスロットから設定をコピー:
"set_default","Default","Por defecto","Par défaut","Standard",デフォルト
"set_difficulty","Difficulty:","Dificultad:","Difficulté :","Schwierigkeit:",難易度:
"set_dominantHand","Dominant Hand:","Mano dominante:","Main dominante :","Dominante Hand:",利き手
"set_easy","Easy","Fácil","Facile","Einfach",Easy
"set_easy_desc","A more laid-back experience. Enemies react slower and do slightly less damage.","Una experiencia más relajada. Los enemigos tardan más en reaccionar y hacen un poco menos de daño.","Une expérience plus décontractée. Les ennemis réagissent moins vite et infligent un peu moins de dégâts.","Ein entspannteres Erlebnis. Die Feinde reagieren langsamer und richten etwas weniger Schaden an.",より緩やかなゲーム体験。敵の反応が遅くなり、被ダメージがわずかに減少。
"set_story","Story","Historia","Histoire","Geschichte",Story
"set_story_desc","Removes all challenge from combat. Enjoy the story and explore at your leisure","Elimina todos los desafíos del combate. Disfruta de la historia y explora a tu aire","Supprime tous les défis du combat. Profitez de l'histoire et explorez à votre guise","Entfernt alle Herausforderungen aus dem Kampf. Genießen Sie die Geschichte und erkunden Sie sie in aller Ruhe",戦闘の難易度をいっさい取り除きます。ストーリーと探索を存分にお楽しみください。
"set_fov","FOV Reduction:","Reducción del campo de visión:","Réduction du CdV :","FOV-Reduktion:",FOV低減:
"set_gunangle","Gun Angle Adjust:","Ajuste del ángulo de la pistola:","Réglage de l'angle du pistolet :","Einstellung des Pistolenwinkels:",銃の角度調整:
"set_gameplay","Gameplay","Modo de juego","Options de jeu","Gameplay",ゲームプレイ
"set_goldskins","Gold skins:","Apariencias doradas:","Peaux dorées :","Gold-Skins:",ゴールドスキン:
"set_graphics","Graphics","Gráficos","Graphismes","Grafik",グラフィック
"set_hand","Hand
","Mano","Main","Hand","手
"
"set_hard","Hard","Difícil","Difficile","Schwer",Hard
"set_hard_desc","Enemies are faster, smarter, more aggressive, and do more damage. Not for the faint of heart.","Los enemigos son más rápidos, más inteligentes, más agresivos y hacen más daño. No apto para los débiles de corazón.","Les ennemis sont plus rapides, intelligents et hargneux et ils infligent plus de dégâts. Âmes sensibles s'abstenir.","Die Feinde sind schneller, schlauer, aggressiver und richten mehr Schaden an. Nichts für schwache Nerven.",素早く、賢く、積極的なエネミーと被ダメージ増加。上級者向け。
"set_head","Head","Cabeza","Tête","Kopf",頭
"set_hud","HUD","Interfaz","ATH","HUD",HUD
"set_hud_default","Default","Por defecto","Par défaut","Standard",デフォルト
"set_hud_donotdisturb","Do Not Disturb","No molestar","Ne pas déranger","Bitte nicht stören",Do Not Disturb
"set_hud_immersive","Immersive","Inmersiva","Immersif","Immersiv",インタラクション
"set_hudpresets","HUD Presets:","Ajustes por defecto de interfaz:","Préréglages ATH :","HUD-Voreinstellungen:",HUDプリセット:
"set_increment","Snap Increment:","Desplazamiento de imagen:","Rotation par à-coups :","Einrasten-Erhöhung:",Snap Increment:
"set_jump","Jumping:","Saltar:","Sauter :","Springen:",ジャンプ:
"set_lighting","Lighting Quality:","Calidad de iluminación:","Qualité de l'éclairage :","Beleuchtungsqualität:",ライティング品質:
"set_locomotion","Locomotion","Movimiento","Locomotion","Fortbewegung",移動方式
"set_lowhealth","Low Health FX:","Efecto de vida baja:","Effets du niveau de santé bas :","Sound bei niedriger Gesundheit:",瀕死時エフェクト:
"set_mastervol","Master Volume:","Volumen general:","Volume général :","Gesamtlautstärke:",マスター音量:
"set_menumusic","Menu Music:","Música del menú:","Musique du menu :","Menümusik:",メニューBGM:
"set_mirror","Mirror Input:","Copiar entrada:","Entrée inversée :","Gespiegelte Eingabe:",LRスティック入れ替え:
"set_models","Model Quality:","Calidad de los modelos:","Qualité du modèle :","Modellqualität:",モデル品質:
"set_musicvol","Music Volume:","Volumen de música:","Volume de la musique :","Musiklautstärke:",BGM音量:
"set_normal","Normal","Normal","Normale","Normal",Normal
"set_normal_desc","Default difficulty. A solid challenge and the recommended experience.","Dificultad por defecto. Un buen desafío y la experiencia recomendada.","Difficulté par défaut. Un défi intéressant et l'expérience recommandée.","Standard-Schwierigkeit. Eine solide Herausforderung und die empfohlene Erfahrung.",通常の難易度。ほどよい歯ごたえのおすすめ設定。
"set_noTurn","Off","No","Désactivée","Aus",オフ
"set_off","Off","No","Désactivé","Aus",オフ
"set_on","On","Sí","Activé","Ein",オン
"set_orient","Orientation:","Orientación:","Orientation :","Orientierung:",進行方向:
"set_pfx","Post FX Quality:","Calidad de efectos posteriores:","Qualité Post-FX :","Nachbearbeitungsqualität:",ポストエフェクト品質:
"set_progressnotes","Progress Notifications:","Notificaciones de progreso:","Notifications de progression :","Fortschrittsbenachrichtigungen:",進行度通知:
"set_pulse","Pulse","Pulso","Pulsations","Pulsieren",パルス
"set_qualityPreset","Quality Preset:","Calidad por defecto:","Préréglage de qualité :","Qualitätsvoreinstellung:",プリセット:
"set_revert","Revert","Revertir","Annuler","Umkehren",元に戻す
"set_screenshake","Screen Shake:","Movimiento de pantalla:","Vibration de l'écran :","Bildschirmrütteln:",画面揺れ:
"set_seasick","Reduce Seasickness:","Reducir mareo:","Réduction du mal de mer :","Seekrankheit verringern:",酔い低減:
"set_seated","Seated Mode","Modo sentado","Mode assis","Sitzender Modus",座位モード
"set_shadows","Shadow Quality:","Calidad de las sombras:","Qualité des ombres :","Schattenqualität:",影品質:
"set_skinning","Skinning Quality:","Calidad del ajuste de piel:","Qualité du squelettage :","Skinning-Qualität:",スキン品質:
"set_smooth","Smooth","Suavizado","Fluide","Glatt",スムーズ
"set_smoothLoco","Smooth Locomotion:","Movimiento suave:","Locomotion fluide :","Sanfte Fortbewegung:",スムーズ移動:
"set_snap","Snap","Chasquido","Saccadée","Einrasten",スナップ
"set_softParticles","Soft Particles","Partículas adaptadas","Particules atténuées","Weiche Partikel",ソフトパーティクル
"set_textures","Texture Quality:","Calidad de las texturas:","Qualité de la texture :","Texturqualität:",テクスチャ品質:
"set_turnFast","Fast","Rápido","Rapide","Schnell",速い
"set_turning","Turning:","Giro:","Rotation :","Drehen:",回転:
"set_turnMedium","Med","Medio","Moyenne","Mittel",普通
"set_turnSlow","Slow","Lento","Lente","Langsam",遅い
"set_turnspeed","Turning Speed:","Velocidad de giro:","Vitesse de rotation :","Wendegeschwindigkeit:",回転スピード:
"set_vignette","Vignette","Viñeta","Vignette","Vignette",視界低減
"set_waterdynamics","GPU Water Dynamics:","Dinámica del agua de GPU:","Dynamique graphique de l'eau :","GPU-Wasserdynamik:",GPUウォーターダイナミクス:
"set_wheelammo","Weapon Wheel Ammo Display:","Mostrar munición en ruleta de armas:","Munitions affichées dans le menu des armes :","Waffenrad-Munitionsanzeige:",ホイールメニューの弾薬表示:
"spec_drone","Spectator Drone","Dron espectador","Drone spectateur","Beobachter-Drohne",観戦ドローン
"spec_droneinfo","DRONE INFO:
Control with WASD + QE + Mouse
Return to player with R","INFORMACIÓN DEL DRON:
 Control con WASD + QE + Ratón
 Volver al jugador con R","INFOS DU DRONE :
Contrôler avec WASD + QE + Souris
Retourner au joueur avec R","DROHNENINFO:
 Steuerung mit WASD + QE + Maus
 Rückkehr zum Spieler mit R","ドローン情報:
WASDとQEとマウスで操作
Rでプレイヤーに戻る"
"spec_fov","Field of View:","Campo de visión:","Champ de vision :","Sichtfeld:",FOV:
"spec_hd","HD Spectator View","Vista de espectador en HD","Vue spectateur HD","HD-Zuschaueransicht",高品質観戦ビュー
"spec_hp","Show Player Health","Mostrar la salud del jugador","Afficher la santé du joueur","Spielergesundheit anzeigen",ヘルス表示
"spec_none","No Spectator View","Sin vista de espectador","Mode spectateur désactivé","Keine Zuschaueransicht",観戦ビューなし
"spec_quality","Reduce quality in-headset","Reducir la calidad en el casco","Réduire la qualité du casque","Kopfhörer-Qualität reduzieren",ヘッドセット側の画質低減
"spec_smoothing","Head Motion Smoothing:","Suavizado de movimiento de la cabeza:","Atténuation des mouvements de tête :","Kopfbewegung glätten:",視点ぶれ補正:
"spec_third","Third Person View","Vista en tercera persona","Vue subjective","Third-Person-Ansicht",三人称視点
"spec_tilt","Reduce tilting","Reducir inclinación","Réduire l'inclinaison","Kippen reduzieren",傾き低減
"spec_timer","Show Game Timer","Mostrar temporizador de juego","Afficher le chronomètre","Spiel-Timer anzeigen",タイマー表示
"stage_assembly","Assembly Required","Se requiere ensamblaje","Montage requis","Montage erforderlich",Assembly Required
"stage_assembly_summary","Sonja explores the robot assembly floor, searching for a way to unlock the sealed Core.","Sonja explora la planta de ensamblaje de robots en busca de una forma de acceder al núcleo sellado.","Sonja explore l'étage de montage des robots, en cherchant un moyen de déverrouiller le cœur verrouillé.","Sonja erkundet die Roboter-Montagehalle und sucht nach einem Weg, den versiegelten Kern zu entriegeln.","Sonja explores the robot assembly floor, searching for a way to unlock the sealed Core."
"stage_bonvoyage","Bon Voyage","Bon voyage","Bon voyage","Bon Voyage",Bon Voyage
"stage_bonvoyage_summary","Brian briefs Sonja on how to return to her home universe.","Brian indica a Sonja cómo regresar a su universo natal.","Brian explique à Sonja comment retourner dans son univers d'origine.","Brian erklärt Sonja, wie sie in ihr Heimatuniversum zurückkehren kann.",Brian briefs Sonja on how to return to her home universe.
"stage_centaur","Centaur","Centauro","Centaure","Zentaur",Centaur
"stage_centaur_summary","A mighty security robot with thick armor and a very large cannon.","Un poderoso robot de seguridad con un grueso blindaje y un cañón muy grande.","Un puissant robot de sécurité avec une armure épaisse et un gros canon.","Ein mächtiger Sicherheitsroboter mit dicker Panzerung und einer sehr großen Kanone.",A mighty security robot with thick armor and a very large cannon.
"stage_crucible","Crucible","Crisol","Creuset","Schmelztiegel",Crucible
"stage_crucible_summary","Things begin to heat up deeper in the Recycling Center.","Las cosas comienzan a calentarse en las profundidades del centro de reciclaje.","Ça commence à chauffer en descendant dans le centre de recyclage.","Im Recyclingzentrum geht es heiß her.",Things begin to heat up deeper in the Recycling Center.
"stage_datamast","Datamast Repair","Reparación de mástil de datos","Réparation du mât de données","Datenmast-Reparatur",Datamast Repair
"stage_datamast_summary","In the aftermath of the destructive core cycle, Brian sends Sonja on a repair mission that quickly goes awry.","Después del ciclo destructivo del núcleo, Brian envía a Sonja a una misión de reparación que se tuerce rápidamente.","À la suite du cycle destructeur du cœur, Brian envoie Sonja en mission de réparation qui tourne vite mal.","Nach dem zerstörerischen Kernzyklus schickt Brian Sonja auf eine Reparaturmission, die schnell schiefgeht.","In the aftermath of the destructive core cycle, Brian sends Sonja on a repair mission that quickly goes awry."
"stage_degeneratematter","Degenerate Matter","Materia degenerada","Matière dégradée","Entartete Materie",Degenerate Matter
"stage_degeneratematter_summary","Sonja returns to the reactor, but finds the core has been destabilized by her actions in the Deep Labs.","Sonja regresa al reactor, pero descubre que el núcleo ha sido desestabilizado por sus acciones en los laboratorios ocultos.","Sonja retourne au réacteur et découvre que ses actions dans les Deep Labs ont déstabilisé le cœur.","Sonja kehrt zum Reaktor zurück, muss aber feststellen, dass der Kern durch ihre Aktionen in den Deep Labs destabilisiert wurde.","Sonja returns to the reactor, but finds the core has been destabilized by her actions in the Deep Labs."
"stage_doublecentaur","Double Centaur","Doble centauro","Double centaure","Doppel-Zentaur",Double Centaur
"stage_doublecentaur_summary","An unfair fight against two centaurs.","Una lucha injusta contra dos centauros.","Un combat déséquilibré contre deux centaures.","Ein unfairer Kampf gegen zwei Zentauren.",An unfair fight against two centaurs.
"stage_eventhorizon","Event Horizon","Horizonte de sucesos","Horizon des événements","Ereignishorizont",Event Horizon
"stage_eventhorizon_summary","At long last, Sonja arrives at the reactor core.","Por fin, Sonja llega al núcleo del reactor.","Sonja arrive enfin au cœur du réacteur.","Endlich kommt Sonja am Reaktorkern an.","At long last, Sonja arrives at the reactor core."
"stage_familiarhalls","Familiar Halls","Lugares familiares","Salles familières","Vertraute Hallen",Familiar Halls
"stage_familiarhalls_summary","Back in the quantum reactor proper, Sonja begins to explore the recycling center.","Tras regresar al reactor cuántico, Sonja comienza a explorar el centro de reciclaje.","De retour dans le réacteur quantique, Sonja commence à explorer le centre de recyclage.","Zurück im eigentlichen Quantenreaktor beginnt Sonja, das Recyclingzentrum zu erkunden.","Back in the quantum reactor proper, Sonja begins to explore the recycling center."
"stage_fishbrain","Fish Brain","Cerebro de pez","Cerveau de poisson","Fischgehirn",Fish Brain
"stage_fishbrain_summary","A fish's brain, defended by its immune system.","El cerebro de un pez, defendido por su sistema inmunitario.","Un cerveau de poisson, protégé par son système immunitaire.","Das Gehirn eines Fisches, das von seinem Immunsystem geschützt wird.","A fish's brain, defended by its immune system."
"stage_ghronto","Maharishi Ghronto","Maharishi Ghronto","Maharishi Ghronto","Maharishi Ghronto",Maharishi Ghronto
